*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_1Eviews_q17.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.17,.00,.01,.00,.18,79265,10622,0,0,11743
0,success,.35,.00,.01,.00,.36,79265,10622,0,0,11743
0,success,.36,.00,.01,.00,.37,79265,10622,0,0,11743
0,success,.17,.00,.01,.00,.18,79265,10622,0,0,11743
0,success,.18,.00,.01,.00,.19,79265,10622,0,0,11743
0,success,.16,.00,.01,.00,.17,79265,10622,0,0,11743
0,success,.15,.00,.01,.00,.16,79265,10622,0,0,11743
0,success,.15,.00,.01,.00,.16,79265,10622,0,0,11743
0,success,.15,.00,.01,.00,.16,79265,10622,0,0,11743
0,success,.20,.00,.01,.00,.20,79265,10622,0,0,11743
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.21,.00,.01,.00,.21,79265,10622,0,0,11743

Data loading Time,1.23
Index building Time,.17
Average Eval Time per run,1.30
Average Eval Time per query,1.30
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.05
Average Matching Time per query,.05
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79265.00
Average Nodes after per query,10622.00
Average number of solution tuples per query,.00
Max Used Memory,2305.00 MB
*****************************************************
