*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_3Eviews_q15.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.16,.00,.01,.00,.17,79342,10724,0,0,12510
0,success,.17,.00,.01,.00,.18,79342,10724,0,0,12510
0,success,.17,.00,.01,.00,.17,79342,10724,0,0,12510
0,success,.20,.00,.01,.00,.21,79342,10724,0,0,12510
0,success,.22,.00,.01,.00,.23,79342,10724,0,0,12510
0,success,.17,.00,.01,.00,.18,79342,10724,0,0,12510
0,success,.16,.00,.01,.00,.17,79342,10724,0,0,12510
0,success,.16,.00,.01,.00,.18,79342,10724,0,0,12510
0,success,.17,.00,.01,.00,.18,79342,10724,0,0,12510
0,success,.31,.00,.01,.00,.32,79342,10724,0,0,12510
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.19,.00,.01,.00,.20,79342,10724,0,0,12510

Data loading Time,1.09
Index building Time,.35
Average Eval Time per run,1.03
Average Eval Time per query,1.03
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.05
Average Matching Time per query,.05
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79342.00
Average Nodes after per query,10724.00
Average number of solution tuples per query,.00
Max Used Memory,2592.00 MB
*****************************************************
