*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_c_1Eviews_q14.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.29,.00,.29,26237,1121,2133
1,success,.17,.00,.17,26221,1030,1979
2,success,.19,.00,.19,26782,1051,2018
3,success,.17,.00,.17,26555,1087,2088
4,success,.17,.00,.17,26562,1018,1939
5,success,.16,.00,.16,26941,793,1509
6,success,.17,.00,.17,26721,1121,2148
7,success,.19,.00,.19,26791,850,1626
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
0,success,.00,.00,.00,.00,79733,278,0,628
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,79733,278,0,628

Data loading Time,.94
Index building Time,.17
Average Eval Time per run,.01
Average Eval Time per query,.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,79733.00
Average Nodes after per query,278.00
Average number of solution tuples per query,.00
Max Used Memory,2305.00 MB
*****************************************************
