*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q12.qry
Algorithm:DagEval_ansgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.60,20.81,21.41,26503,10214,12414089
1,success,.22,.00,.22,26599,1435,2788
2,success,.20,.00,.20,26486,943,1832
3,success,.23,.00,.23,26599,1435,2788
4,success,9.71,36.26,45.97,26660,10172,11727124
5,success,.24,.00,.25,26547,1074,2059
6,success,.23,.00,.23,26660,1462,2854
7,success,32.22,54.03,86.25,26643,10251,12252101
8,success,.23,.00,.23,26756,1593,3090
9,success,9.22,35.54,44.76,26643,10193,11762560
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,66524,276,1,6785
0,success,.00,.00,.00,.00,66524,276,1,6785
0,success,.00,.00,.00,.00,66524,276,1,6785
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,66524,276,1,6785

Data loading Time,.79
Index building Time,.15
Average Eval Time per run,.00
Average Eval Time per query,.00
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.00
Average Matching Time per query,.00
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,66524.00
Average Nodes after per query,276.00
Average number of solution tuples per query,1.00
Max Used Memory,2847.00 MB
*****************************************************
