*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_3Eviews_q12.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,.27,1.28,1.56,53146,11044,2219504
1,success,1.30,1.98,3.28,53303,5585,1134810
2,success,3.97,6.10,10.08,53242,4568,1530757
3,success,.20,.00,.20,53259,2348,5827
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
0,success,.00,.00,.00,.00,66524,214,1,4243
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,66524,214,1,4243

Data loading Time,.67
Index building Time,.17
Average Eval Time per run,.01
Average Eval Time per query,.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,66524.00
Average Nodes after per query,214.00
Average number of solution tuples per query,1.00
Max Used Memory,1726.00 MB
*****************************************************
