*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q8.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.23,.00,.04,.01,.28,53320,10526,41632,0,36119
0,success,.13,.00,.03,.01,.16,53320,10526,41632,0,36119
0,success,.14,.00,.03,.01,.18,53320,10526,41632,0,36119
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.17,.00,.03,.01,.21,53320,10526,41632,0,36119

Data loading Time,.93
Index building Time,.18
Average Eval Time per run,.45
Average Eval Time per query,.45
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.06
Average Matching Time per query,.06
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,53320.00
Average Nodes after per query,10526.00
Average number of solution tuples per query,41632.00
Max Used Memory,2824.00 MB
*****************************************************
