*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_2Eviews_q8.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.14,.00,.03,.01,.17,53320,10526,41632,0,36119
0,success,.16,.00,.03,.01,.20,53320,10526,41632,0,36119
0,success,.14,.00,.03,.01,.19,53320,10526,41632,0,36119
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.15,.00,.03,.01,.19,53320,10526,41632,0,36119

Data loading Time,.89
Index building Time,.18
Average Eval Time per run,.37
Average Eval Time per query,.37
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.06
Average Matching Time per query,.06
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,53320.00
Average Nodes after per query,10526.00
Average number of solution tuples per query,41632.00
Max Used Memory,2824.00 MB
*****************************************************
