*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q8.qry
Algorithm:DagEval_IEfltsim
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.21,.00,.08,.01,.30,53320,10526,41632,0,36119
0,success,.18,.00,.04,.01,.23,53320,10526,41632,0,36119
0,success,.27,.00,.05,.01,.32,53320,10526,41632,0,36119
0,success,.36,.00,.09,.01,.46,53320,10526,41632,0,36119
0,success,.20,.00,.06,.01,.27,53320,10526,41632,0,36119
0,success,.24,.00,.06,.01,.31,53320,10526,41632,0,36119
0,success,.16,.00,.03,.01,.20,53320,10526,41632,0,36119
0,success,.21,.00,.04,.01,.27,53320,10526,41632,0,36119
0,success,.18,.00,.04,.01,.23,53320,10526,41632,0,36119
0,success,.15,.00,.03,.01,.19,53320,10526,41632,0,36119
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.21,.00,.05,.01,.28,53320,10526,41632,0,36119

Data loading Time,1.04
Index building Time,.20
Average Eval Time per run,1.62
Average Eval Time per query,1.62
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.32
Average Matching Time per query,.32
Average Enumeration Time per run,.05
Average Enumeration Time per query,.05
Average Nodes before per query,53320.00
Average Nodes after per query,10526.00
Average number of solution tuples per query,41632.00
Max Used Memory,3192.00 MB
*****************************************************
