*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\Email_lb20.dag
V:265214,E:345203,lbs:20
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\lb20_cyc_m_1Eviews_q11.qry
Algorithm:DagEval_simgr
*****************************************************
View,Build,Times:,
id,status,preTime,matchTime,totTime,numNodesBefore,numNodesAfter,sizeOfAG
0,success,24.18,43.56,67.75,26482,10040,11855296
1,success,.17,.00,.17,26165,729,1371
2,success,.17,.00,.17,26649,897,1708
3,success,.42,31.25,31.67,26213,10367,11847320
4,success,.16,.00,.16,26697,936,1788
5,success,.44,34.47,34.91,26380,10562,12156183
*****************************************************
id,status,preTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,sizeOfAG
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
0,success,.00,.00,.00,.00,52862,184,14,4432
Average,running,time:,
id,status,preTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,sizeOfAG
0,success,.00,.00,.00,.00,52862,184,14,4432

Data loading Time,.78
Index building Time,.30
Average Eval Time per run,.01
Average Eval Time per query,.01
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Matching Time per run,.01
Average Matching Time per query,.01
Average Enumeration Time per run,.00
Average Enumeration Time per query,.00
Average Nodes before per query,52862.00
Average Nodes after per query,184.00
Average number of solution tuples per query,14.00
Max Used Memory,1662.00 MB
*****************************************************
